date,signal_value
2026-08-08,93693.01
2026-08-08,93544.88
2026-08-08,93612.76
2026-08-08,93364.78
2026-08-08,93643.54
2026-08-08,93643.54
2026-08-08,92962.08
2026-08-08,92983.18
2026-08-08,92898.95
2026-08-08,93483.82
2026-08-08,93495.38
2026-08-08,93563.47
2026-08-08,93911.77
2026-08-08,93696.37
2026-08-08,93704.41
2026-08-08,93600.32
2026-08-08,93579.25
2026-08-08,93556.84
2026-08-08,93559.79
2026-08-09,93672.65
2026-08-09,93572.5
2026-08-09,93566.78
2026-08-09,93086.73
2026-08-09,93184.63
2026-08-09,93056.82
2026-08-09,93189.65
2026-08-09,93079.06
2026-08-09,93016.13
2026-08-09,92973.44
2026-08-09,92996.16
2026-08-09,93097.44
2026-08-09,93071.14
2026-08-09,93156.67
2026-08-09,93438.82
2026-08-09,94387.12
2026-08-09,94222.29
2026-08-09,94205.34
2026-08-09,94289.94
2026-08-09,94221.52
2026-08-09,94168.49
2026-08-09,94105.86
2026-08-09,93973.16
2026-08-09,93867.59
2026-08-10,93994.19
2026-08-10,93375.19
2026-08-10,93575.15
2026-08-10,93522.96
2026-08-10,93929.6
2026-08-10,94105.08
2026-08-10,94156.57
2026-08-10,94149.73
2026-08-10,93941.32
2026-08-10,93924.78
2026-08-10,93913.4
2026-08-10,93797.76
2026-08-10,93860.69
2026-08-10,93730.63
2026-08-10,93800.32
2026-08-10,93673.58
2026-08-10,93521.2
2026-08-10,93518.52
2026-08-10,94102.89
2026-08-10,94040.32
2026-08-10,94051.26
2026-08-10,93908.2
2026-08-10,93704.65
2026-08-10,93786.49
2026-08-11,93850.55
2026-08-11,94021.84
2026-08-11,93974.22
2026-08-11,93900.0
2026-08-11,93804.07
2026-08-11,93702.47
2026-08-11,93750.09
2026-08-11,93496.58
2026-08-11,93129.94
2026-08-11,93272.93
2026-08-11,93211.33
2026-08-11,93178.91
2026-08-11,93216.1
2026-08-11,93293.54
2026-08-11,91921.74
2026-08-11,91631.87
2026-08-11,91665.44
2026-08-11,91818.85
2026-08-11,91776.65
2026-08-11,91932.28
2026-08-11,92103.25
