rank,account,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,value_inr,cash_inr,holdings_inr,realized_pnl_inr,trades
124,acc_155,36.0,72.0,3.0,2.0,30.0,9956.44,2403.7,7552.74,0.0,4
125,acc_156,36.0,72.0,4.0,3.0,30.0,9956.44,2403.7,7552.74,0.0,4
126,acc_168,36.0,80.0,5.0,2.0,30.0,9956.44,2403.7,7552.74,0.0,4
127,acc_169,36.0,80.0,6.0,3.0,30.0,9956.44,2403.7,7552.74,0.0,4
128,acc_145,36.0,64.0,5.0,1.5,20.0,9949.7,5093.52,4856.18,-19.48,5
129,acc_158,36.0,72.0,8.0,1.5,20.0,9949.7,5093.52,4856.18,-19.48,5
130,acc_171,36.0,80.0,12.0,1.5,20.0,9949.7,5093.52,4856.18,-19.48,5
131,acc_115,33.0,64.0,3.0,1.5,30.0,9946.46,4904.87,5041.58,0.0,2
132,acc_116,33.0,64.0,4.0,2.0,30.0,9946.46,4904.87,5041.58,0.0,2
133,acc_117,33.0,64.0,5.0,3.0,30.0,9946.46,4904.87,5041.58,0.0,2
134,acc_128,33.0,72.0,5.0,1.5,30.0,9946.46,4904.87,5041.58,0.0,2
135,acc_129,33.0,72.0,6.0,2.0,30.0,9946.46,4904.87,5041.58,0.0,2
136,acc_130,33.0,72.0,8.0,3.0,30.0,9946.46,4904.87,5041.58,0.0,2
137,acc_142,33.0,80.0,10.0,2.0,30.0,9946.46,4904.87,5041.58,0.0,2
138,acc_143,33.0,80.0,12.0,3.0,30.0,9946.46,4904.87,5041.58,0.0,2
139,acc_152,36.0,68.0,6.0,3.0,40.0,9946.43,1296.53,8649.9,0.0,4
140,acc_165,36.0,76.0,10.0,3.0,40.0,9946.43,1296.53,8649.9,0.0,4
141,acc_118,33.0,64.0,8.0,1.0,20.0,9945.09,7969.09,1976.0,-19.72,3
142,acc_131,33.0,72.0,12.0,1.0,20.0,9945.09,7969.09,1976.0,-19.72,3
143,acc_178,40.0,68.0,3.0,3.0,40.0,9940.75,763.07,9177.68,-20.49,7
144,acc_191,40.0,76.0,5.0,3.0,40.0,9940.75,763.07,9177.68,-20.49,7
145,acc_151,36.0,68.0,5.0,2.0,50.0,9937.46,625.64,9311.82,0.0,4
146,acc_164,36.0,76.0,8.0,2.0,50.0,9937.46,625.64,9311.82,0.0,4
147,acc_147,36.0,64.0,8.0,2.0,60.0,9933.3,641.06,9292.24,0.0,3
148,acc_148,36.0,64.0,10.0,3.0,60.0,9933.3,641.06,9292.24,0.0,3
149,acc_160,36.0,72.0,12.0,2.0,60.0,9933.3,641.06,9292.24,0.0,3
