rank,account,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours,round_trips,win_rate,avg_win_pct,avg_loss_pct,profit_factor,final_value,pnl,pnl_pct,max_drawdown_pct,fees_paid,tds_paid
196,acc_011,dip,15,68,12,1.5,20,720,5,40.0,2.705,-1.698,0.964,9904.102,-95.898,-0.959,2.359,18.438,92.262
197,acc_013,dip,15,72,5,1.5,40,336,6,50.0,3.759,-2.041,1.467,9902.589,-97.411,-0.974,3.653,40.27,202.076
198,acc_437,momentum,36,72,4,5,50,0,125,64.8,3.926,-4.477,1.607,9897.871,-102.129,-1.021,12.469,243.177,1176.519
199,acc_075,dip,22,85,10,5,20,720,8,50.0,7.862,-7.112,0.834,9896.872,-103.128,-1.031,4.859,22.299,101.477
200,acc_024,dip,15,85,6,1,30,336,5,20.0,6.72,-1.686,1.11,9892.681,-107.319,-1.073,3.863,25.253,126.488
201,acc_237,dip,45,72,3,5,40,720,105,72.381,3.636,-5.516,1.537,9890.337,-109.663,-1.097,7.322,203.251,990.484
202,acc_062,dip,22,72,3,1,20,0,17,52.941,3.359,-2.011,1.635,9884.159,-115.841,-1.158,1.838,64.039,321.545
203,acc_167,dip,33,76,8,1,60,168,73,30.137,6.822,-1.708,1.487,9875.473,-124.527,-1.245,13.041,217.384,1045.008
204,acc_235,dip,45,68,8,5,30,0,77,62.338,5.117,-5.263,1.279,9868.638,-131.362,-1.314,6.72,129.487,619.203
205,acc_022,dip,15,80,15,1,20,0,5,20.0,3.934,-1.686,0.607,9863.026,-136.974,-1.37,2.842,17.701,88.351
206,acc_095,dip,25,80,5,1.5,60,168,24,41.667,5.209,-2.014,1.651,9859.75,-140.25,-1.403,5.843,131.017,658.329
207,acc_169,dip,33,80,3,1.5,10,72,123,52.846,3.576,-1.96,1.863,9856.942,-143.058,-1.431,4.834,168.218,845.441
208,acc_397,momentum,30,85,2,5,50,0,210,74.762,3.31,-5.79,1.667,9856.127,-143.873,-1.439,17.685,367.364,1801.187
209,acc_135,dip,30,68,8,1.5,60,168,53,45.283,4.681,-2.114,1.465,9852.76,-147.24,-1.472,6.955,177.077,846.412
210,acc_018,dip,15,76,10,5,50,168,3,33.333,3.56,-1.061,0.746,9846.157,-153.843,-1.538,4.854,24.881,124.381
211,acc_005,dip,15,64,3,1,40,336,6,50.0,3.184,-2.041,1.229,9835.389,-164.611,-1.646,3.567,44.535,223.193
212,acc_080,dip,25,64,3,2,30,720,27,62.963,3.149,-2.548,1.65,9822.037,-177.963,-1.78,3.645,114.454,574.828
213,acc_260,momentum,15,68,8,5,80,168,108,66.667,3.588,-3.369,1.83,9819.789,-180.211,-1.802,10.55,375.686,1840.555
214,acc_359,momentum,28,68,5,5,60,720,164,68.902,2.879,-3.401,1.806,9813.486,-186.514,-1.865,12.721,349.081,1708.349
215,acc_210,dip,40,68,8,3,50,336,80,50.0,5.288,-3.562,1.277,9813.051,-186.949,-1.869,8.378,163.777,785.401
216,acc_177,dip,36,60,5,2,10,72,151,58.278,3.259,-2.337,1.766,9805.998,-194.002,-1.94,4.969,188.899,943.058
217,acc_158,dip,33,68,2,2,20,0,124,66.935,2.828,-2.476,1.951,9804.434,-195.566,-1.956,4.298,259.937,1303.171
218,acc_066,dip,22,76,4,1,50,168,17,47.059,4.909,-1.912,1.609,9803.256,-196.744,-1.967,5.602,138.725,696.818
219,acc_336,momentum,25,68,15,5,40,0,218,64.22,3.406,-3.359,1.578,9802.905,-197.095,-1.971,12.564,343.717,1683.123
220,acc_002,dip,15,60,4,2,50,168,6,50.0,3.772,-1.968,1.203,9802.809,-197.191,-1.972,3.965,51.896,260.056
221,acc_152,dip,33,60,5,1.5,30,720,124,54.839,3.599,-1.992,1.928,9796.773,-203.227,-2.032,9.034,309.393,1555.274
222,acc_020,dip,15,80,4,5,80,72,5,60.0,3.939,-2.146,1.171,9791.889,-208.111,-2.081,6.812,53.73,269.222
223,acc_171,dip,33,80,10,1.5,30,0,80,22.5,8.773,-2.107,1.158,9771.773,-228.227,-2.282,9.877,152.833,725.108
224,acc_375,momentum,28,85,15,1.5,60,720,92,17.391,14.276,-2.258,1.177,9765.404,-234.596,-2.346,14.268,219.985,1059.449
225,acc_212,dip,40,72,3,3,80,168,60,65.0,3.533,-3.392,1.505,9763.238,-236.762,-2.368,8.362,214.113,1038.92
226,acc_250,dip,45,85,12,3,50,720,47,29.787,12.488,-3.89,1.0,9761.053,-238.947,-2.389,9.383,115.343,533.517
227,acc_204,dip,40,60,15,2,80,168,98,59.184,2.983,-2.459,1.896,9754.011,-245.989,-2.46,6.934,376.89,1887.843
228,acc_010,dip,15,68,6,3,50,168,4,50.0,3.542,-3.313,0.742,9741.253,-258.747,-2.587,5.711,34.369,171.583
229,acc_396,momentum,30,80,12,1.5,80,336,81,30.864,9.288,-2.854,1.259,9733.514,-266.486,-2.665,16.568,283.465,1377.073
230,acc_156,dip,33,64,6,1.5,80,168,66,48.485,4.13,-1.966,1.799,9727.252,-272.748,-2.727,14.793,405.16,2029.15
231,acc_217,dip,40,76,8,2,10,72,135,44.444,4.318,-2.276,1.368,9725.754,-274.246,-2.742,7.228,155.381,761.753
232,acc_223,dip,40,85,4,2,60,336,113,47.788,4.784,-2.645,1.461,9715.353,-284.647,-2.846,9.367,270.697,1324.173
233,acc_446,momentum,36,80,12,3,20,168,132,34.848,8.744,-3.766,1.118,9707.297,-292.703,-2.927,12.012,168.054,806.65
234,acc_248,dip,45,85,4,3,40,0,120,56.667,4.819,-3.671,1.364,9704.314,-295.686,-2.957,7.366,216.56,1049.348
235,acc_318,momentum,22,76,15,2,20,168,218,33.486,7.309,-2.658,1.265,9675.241,-324.759,-3.248,12.793,263.543,1286.721
236,acc_198,dip,36,85,4,2,20,72,148,50.676,3.948,-2.226,1.601,9674.539,-325.461,-3.255,8.723,227.262,1138.326
237,acc_433,momentum,36,68,3,5,10,336,215,69.302,2.808,-3.518,1.63,9648.689,-351.311,-3.513,8.364,238.682,1174.715
238,acc_231,dip,45,64,6,3,60,336,104,53.846,4.017,-3.477,1.414,9647.932,-352.068,-3.521,10.202,252.677,1236.396
239,acc_227,dip,45,60,5,3,30,0,216,67.13,3.071,-3.419,1.671,9639.617,-360.383,-3.604,8.099,330.033,1642.617
240,acc_324,momentum,22,85,8,2,80,336,43,37.209,7.766,-3.343,1.137,9625.701,-374.299,-3.743,11.311,159.333,752.529
241,acc_179,dip,36,60,15,2,30,0,141,59.574,3.43,-2.541,1.638,9624.723,-375.277,-3.753,7.882,279.205,1395.95
242,acc_449,momentum,36,85,10,1.5,10,336,141,21.277,10.526,-2.298,1.146,9622.901,-377.099,-3.771,9.201,155.692,756.523
243,acc_023,dip,15,85,3,2,60,72,6,50.0,3.184,-2.661,0.869,9617.857,-382.143,-3.821,6.203,63.548,317.736
244,acc_055,dip,22,64,3,1.5,60,168,16,56.25,3.359,-2.187,1.434,9608.004,-391.996,-3.92,6.274,150.345,754.287
245,acc_160,dip,33,68,8,2,30,720,83,44.578,5.206,-2.592,1.167,9605.277,-394.723,-3.947,9.332,162.324,787.288
246,acc_474,momentum,40,85,10,1.5,60,0,135,23.704,10.507,-2.46,1.258,9604.994,-395.006,-3.95,14.73,286.579,1394.775
247,acc_417,momentum,33,76,10,2,10,336,161,30.435,7.977,-2.771,1.174,9601.712,-398.288,-3.983,8.723,177.043,864.803
248,acc_161,dip,33,68,15,1,10,72,121,33.884,3.945,-1.53,1.211,9599.983,-400.017,-4.0,8.393,155.798,760.684
249,acc_004,dip,15,60,12,2,80,72,6,50.0,3.772,-1.968,0.982,9598.156,-401.844,-4.018,6.623,78.525,392.972
250,acc_162,dip,33,72,3,2,50,336,83,54.217,3.681,-2.528,1.487,9590.966,-409.034,-4.09,11.861,262.932,1296.055
251,acc_458,momentum,40,68,3,5,60,0,209,71.292,2.872,-3.421,1.822,9590.687,-409.313,-4.093,12.697,420.549,2068.069
