rank,account,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours,value_inr,cash_inr,holdings_inr,realized_pnl_inr,trades
197,acc_359,momentum,28.0,68.0,5.0,5.0,60.0,720.0,9505.31,633.78,8871.53,-103.81,24
198,acc_458,momentum,40.0,68.0,3.0,5.0,60.0,0.0,9505.31,633.78,8871.53,-103.81,24
199,acc_408,momentum,33.0,68.0,3.0,3.0,40.0,72.0,9504.04,911.3,8592.73,-143.63,55
200,acc_116,dip,28.0,76.0,4.0,1.5,80.0,72.0,9502.69,9502.69,0,-255.63,8
201,acc_124,dip,28.0,85.0,6.0,2.0,80.0,72.0,9502.69,9502.69,0,-255.63,8
202,acc_077,dip,25.0,60.0,4.0,5.0,40.0,336.0,9499.3,9499.3,0,-441.06,4
203,acc_167,dip,33.0,76.0,8.0,1.0,60.0,168.0,9497.23,1547.16,7950.07,-78.99,22
204,acc_039,dip,18.0,72.0,8.0,5.0,60.0,168.0,9496.63,9496.63,0,-447.79,2
205,acc_496,momentum,45.0,80.0,12.0,5.0,40.0,72.0,9496.26,750.16,8746.1,-489.5,26
206,acc_149,dip,30.0,85.0,6.0,3.0,40.0,720.0,9488.69,5762.25,3726.44,-236.49,11
207,acc_435,momentum,36.0,68.0,10.0,5.0,30.0,168.0,9488.17,1406.95,8081.21,-109.43,51
208,acc_372,momentum,28.0,85.0,2.0,3.0,80.0,336.0,9486.25,583.07,8903.18,-207.73,15
209,acc_353,momentum,28.0,60.0,10.0,5.0,10.0,168.0,9480.53,4691.83,4788.71,-222.1,77
210,acc_101,dip,28.0,60.0,2.0,2.0,40.0,336.0,9478.58,9478.58,0,-384.91,8
211,acc_469,momentum,40.0,80.0,4.0,3.0,50.0,72.0,9478.09,797.67,8680.42,-313.52,32
212,acc_334,momentum,25.0,68.0,5.0,5.0,20.0,168.0,9477.76,2263.57,7214.2,-204.49,57
213,acc_158,dip,33.0,68.0,2.0,2.0,20.0,0.0,9476.62,6102.08,3374.54,-303.67,22
214,acc_269,momentum,15.0,80.0,3.0,3.0,40.0,720.0,9470.89,971.71,8499.18,-185.27,45
215,acc_260,momentum,15.0,68.0,8.0,5.0,80.0,168.0,9453.42,261.6,9191.82,-148.69,18
216,acc_460,momentum,40.0,68.0,10.0,5.0,80.0,720.0,9453.42,261.6,9191.82,-148.69,18
217,acc_318,momentum,22.0,76.0,15.0,2.0,20.0,168.0,9451.49,2460.57,6990.92,-538.66,54
218,acc_220,dip,40.0,80.0,5.0,5.0,80.0,168.0,9448.03,283.17,9164.86,-238.79,15
219,acc_387,momentum,30.0,72.0,4.0,3.0,30.0,72.0,9446.88,1429.01,8017.87,-246.88,59
220,acc_294,momentum,18.0,80.0,3.0,5.0,20.0,72.0,9444.67,2105.22,7339.46,-256.41,54
221,acc_157,dip,33.0,64.0,10.0,5.0,40.0,720.0,9441.17,3440.02,6001.15,-270.86,20
222,acc_290,momentum,18.0,76.0,2.0,3.0,50.0,720.0,9440.39,594.41,8845.98,-132.42,40
223,acc_288,momentum,18.0,72.0,6.0,3.0,40.0,0.0,9432.45,1002.77,8429.68,-201.73,50
224,acc_495,momentum,45.0,80.0,8.0,1.5,80.0,0.0,9429.92,317.16,9112.76,-645.6,19
225,acc_197,dip,36.0,80.0,15.0,5.0,40.0,720.0,9429.76,803.46,8626.3,-745.02,25
226,acc_336,momentum,25.0,68.0,15.0,5.0,40.0,0.0,9423.64,1046.06,8377.58,-191.3,44
227,acc_191,dip,36.0,76.0,4.0,3.0,60.0,336.0,9423.61,612.07,8811.55,-178.5,29
228,acc_146,dip,30.0,80.0,10.0,1.0,50.0,336.0,9421.16,4781.79,4639.36,-223.36,11
229,acc_082,dip,25.0,64.0,10.0,2.0,50.0,168.0,9418.34,9418.34,0,-487.67,4
230,acc_090,dip,25.0,72.0,15.0,3.0,50.0,168.0,9418.34,9418.34,0,-487.67,4
